cs_count,avg_dist_to_center,avg_nearest_neighbor,std_nearest_neighbor,min_distance,max_pairwise_distance,cs_density_std,cluster_count,coverage_ratio,max_gap_distance,gini_coefficient,avg_betweenness_centrality,layout_id
215,4859.288196967754,6664.62053855564,3478.597981147618,58.4165601520667,17991.840466736583,1.0023964174340028,61,0.689624735196207,2348.360283538281,0.34397927611195545,0.0,cs_group_001
215,4889.397066761774,6688.3667833079935,3506.711989300331,10.603254217455797,17283.47392314404,0.9880897762143969,67,0.7131040048421265,2128.201636922592,0.3286614103826306,0.0,cs_group_002
215,4731.618564766971,6485.698538894854,3328.06435312808,15.074090353981758,18318.00664425308,0.9218182390469006,70,0.7047815999192979,1941.029065135296,0.3287731023457976,0.0,cs_group_003
215,4806.435101435983,6610.4159838961095,3439.955850783936,51.25289845462437,18103.16837963178,0.8076009247309622,69,0.7209472409966711,2072.3281879084693,0.3305260076611577,0.0,cs_group_004
215,4708.781065179065,6464.676304368232,3394.5638044256225,10.719972014888105,17369.762973310833,0.9306445294400633,63,0.692726722485625,2127.2403650269525,0.3318848697209924,0.0,cs_group_005
215,4489.972061572536,6198.572736661835,3307.043016999528,14.997163065060242,17449.145910399166,1.0679319178186948,58,0.6906082921416322,2088.6517972127376,0.3540702063099078,0.0,cs_group_006
215,4676.899444573985,6410.411261989754,3349.4632245025746,5.933852037251853,17768.142302559376,0.9452009989116685,73,0.6943155452436195,1721.703412379729,0.34350167069325976,0.0,cs_group_007
215,4773.8067748047815,6595.718179438063,3401.9846889382134,14.997496457742518,17963.470311106368,0.9234984283188014,65,0.6965600726318975,2453.639370425085,0.3378025782379521,0.0,cs_group_008
215,4554.315241180628,6276.364913275156,3201.7963617355595,10.641296913441067,17364.335153376876,1.0162755853197025,69,0.7029153636638757,1816.422812508144,0.3302224781411604,0.0,cs_group_009
215,5042.838333071733,6836.247583339935,3506.857094291817,44.41463722693182,17854.38235500741,0.91914037516482,70,0.6774689801271058,1666.8845659493056,0.3240317659711003,0.0,cs_group_010
215,4969.464960400209,6768.424464455252,3585.8735491812813,10.520955279820626,18427.65043867774,1.020689962343887,67,0.6983002118430344,2091.0404428896154,0.3439899293157083,0.0,cs_group_011
215,4603.832448411087,6352.684272762209,3292.343447009736,40.90052933642813,18386.948836530766,0.8897675720034689,69,0.7149702410975487,2190.016157200672,0.33322152189073767,0.0,cs_group_012
215,4673.551185087011,6419.489013574585,3309.225867985685,44.31534384386482,18015.046066133164,0.9015153554654421,65,0.7120700090789872,2391.0557660163427,0.3413560343535295,0.0,cs_group_013
215,4878.628958757664,6672.038090209407,3491.1779761592366,50.478866865253664,18050.402677572045,0.9169927975204313,65,0.6791586805205286,1883.0633154517138,0.34275622283131585,0.0,cs_group_014
215,4526.807212530505,6301.253879177736,3339.97781344151,21.241716032373343,18058.1606274061,0.9249684907168109,62,0.7044285281952991,2486.971725311729,0.3404569858668003,0.0,cs_group_015
215,4885.257630913559,6648.355229111517,3418.4456538513396,23.67905614673071,17117.05898305255,0.8682294081225156,61,0.7152476545949763,1981.4841202492648,0.33209652726159095,0.0,cs_group_016
215,4820.520116991149,6608.9443717178765,3402.1121396500284,10.552620527621771,18170.172021070684,0.8550455458773564,67,0.7095480681932815,1780.878111634819,0.3229992587287864,0.0,cs_group_017
215,4619.4821379438345,6337.484647131288,3241.414384428238,22.434315233587512,16745.874444680394,1.148021643912451,67,0.6854130939170786,1852.7864402029718,0.3370016265362555,0.0,cs_group_018
215,4702.669982150564,6414.726092551593,3258.5189917111384,9.94335959321555,17760.85669069485,0.9983418326461033,62,0.7184505195198224,1792.5503016930936,0.3346255333784375,0.0,cs_group_019
215,4706.245123552891,6533.965214508144,3428.879499015693,47.25416912823647,18456.757337571515,0.9458905067222465,64,0.6813023302733784,2164.9848550509537,0.3520157746417714,0.0,cs_group_020
215,4642.7948442914685,6439.458738372873,3330.9827005706397,70.44726254440306,17744.060533713808,0.9975146853874476,63,0.6998385957833149,1819.74984214864,0.33044962842327325,0.0,cs_group_021
215,4613.020319621332,6349.518703944613,3271.1249325323056,10.60605958874414,17660.909476128345,0.9080468329735353,64,0.7113134268132755,2641.401963049168,0.34776869428617274,0.0,cs_group_022
215,4754.578503823003,6521.843048977166,3405.412391225156,28.711616116128234,18326.133203281046,1.068242271575041,61,0.7112377685867043,2173.536911947897,0.3438991465193122,0.0,cs_group_023
