,duration_mean,duration_median,duration_p90,charging_time_mean,charging_time_median,charging_time_p90,waiting_time_mean,waiting_time_median,waiting_time_p90,energy_gini,energy_cv,energy_hhi,energy_p90_p50_ratio,vehicle_gini,vehicle_cv,vehicle_hhi,charging_station_coverage,reroute_count,ev_charging_participation_rate,ev_charging_failures
count,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0
mean,1039.3654152677677,837.6481481481482,1640.0419609995251,3059.5044772351466,2695.9541050197495,6027.5531552172115,322.41056435876703,123.7368536289785,565.5089701859716,0.3740816739935591,0.6701696452859316,0.009632664063477563,2.275136289605143,0.372669339271827,0.6927211123581759,0.009876484673797689,0.7334405437083924,611.9506172839506,0.2758920886123093,132.66666666666666
std,46.38110081483983,17.852423582745782,115.97396868966023,424.3260572090281,411.6936088317313,1218.5771560385883,42.6667980918658,6.9701244907756434,109.44426263324183,0.0313850925337325,0.06689061750990087,0.0022388057326154565,0.29940072816957886,0.04555836689990706,0.09303708770888507,0.002583524668429431,0.07178113156961476,2.7968787718093058,0.02097681999682724,52.47785247130451
min,984.1874,785.0,1311.2525669636584,2741.4885057471265,2092.0,5032.0,261.1000000000004,116.0,414.1000000000004,0.3280819670880007,0.5870313520714824,0.0080265012651104,1.8228880389000983,0.306742643585008,0.5349019249668926,0.0077359937037748,0.4976744186046511,603.0,0.207592299147758,91.0
25%,1011.2357,828.5,1572.0,2834.10843373494,2476.0,5456.9000000000015,298.3419,120.0,493.1000000000004,0.355547344484927,0.632390033111454,0.0085743715924258,2.0922123053042885,0.347516960651289,0.6322089263301504,0.0085738385300347,0.7302325581395349,611.0,0.2766666666666666,107.0
50%,1024.7734,833.0,1622.1000000000004,2892.5153374233128,2591.0,5597.700000000001,309.1595,122.0,537.0,0.3658936556041203,0.652404735270154,0.0087406681002041,2.210882673291521,0.3599447413385683,0.6637884194152956,0.0089041420118343,0.7581395348837209,612.0,0.2838888888888889,115.0
75%,1048.1124,840.0,1703.1000000000004,3026.1428571428573,2775.0,5818.4,330.5208,126.0,619.1000000000004,0.3826483328708429,0.6785263228551884,0.0092334424879388,2.376468164391415,0.3761980483650931,0.7177042573282134,0.0094353316881985,0.772093023255814,614.0,0.2866666666666667,128.0
max,1190.1021799297027,913.0,1937.1000000000004,4537.429906542056,4156.422248155562,10748.2,500.9204157124528,152.44021531791608,963.4401774807906,0.4822082015113941,0.9768315966860776,0.0177488415024083,3.332808223184246,0.538959808339443,1.0075703323308614,0.018319981587212,0.8093023255813954,618.0,0.3055555555555556,372.0
